First_Name,Last_Name,DOB,Customer_Type,Identifier,Deceased_Flag,Gender,Martial_Status,PEP_Flag,CTF_Flag,Country_of_residence,Country_of_Origin,Product_name,Risk_level,Date_of_joining,Date_of_exit
Kira,Leguay,25-02-2008,3,356024099,FALSE,M,Married,FALSE,FALSE,Namibia,Vietnam,P13,Medium,13-05-2020,19-05-2011
Niels,Santi,12-04-1975,3,736196369,FALSE,M,Not Married,FALSE,FALSE,Greece,Finland,P17,High,23-09-2001,17-08-2008
Delphine,Asbrey,24-03-2000,4,636970510,FALSE,F,Not Married,FALSE,FALSE,Poland,Somalia,P4,High,09-10-2009,26-02-2009
Lowe,Tebboth,16-09-1977,5,195035588,FALSE,F,Not Married,FALSE,FALSE,China,China,P5,High,14-07-2011,10-02-2012
Romy,Hissie,28-11-1986,3,617360670,FALSE,F,Married,FALSE,FALSE,Ukraine,China,P6,Low,15-06-2010,15-02-2011
Bat,Gumey,06-12-1976,4,871350748,FALSE,M,Married,FALSE,FALSE,Czech Republic,Russia,P7,High,15-11-2004,06-10-2010
Donavon,Filippo,14-05-2015,4,272023109,FALSE,M,Not Married,FALSE,FALSE,China,China,Forex,Low,17-03-2010,01-02-2009
Cordie,Burdon,01-12-1975,4,152618255,FALSE,F,Not Married,FALSE,FALSE,Bangladesh,Burundi,Freit,High,04-01-2001,09-05-2014
Roger,Tomley,23-08-1977,5,876795517,FALSE,F,Not Married,FALSE,FALSE,Brazil,Madagascar,Securities,Medium,14-08-2015,25-12-2013
Nani,Issard,13-11-1975,4,639568947,FALSE,F,Married,FALSE,FALSE,Central African Republic,Indonesia,P17,High,02-11-2006,16-04-2012
Abeu,Aspenlon,27-04-1998,3,542651258,FALSE,F,Married,FALSE,FALSE,China,Tajikistan,P4,Low,05-06-2002,18-01-2018
Hayyim,Bockings,19-10-2010,4,591192886,FALSE,M,Married,FALSE,FALSE,Ukraine,El Salvador,P5,High,01-01-2010,06-04-2006
Elijah,Girod,29-05-1988,5,432500808,FALSE,M,Not Married,FALSE,FALSE,China,Thailand,P6,Medium,03-04-2019,14-04-2017
Pearce,Hinsche,18-11-2004,2,261813323,FALSE,M,Not Married,FALSE,FALSE,Philippines,Japan,P7,Low,26-08-2016,11-03-2005
Karin,Doni,21-01-2001,3,484794114,FALSE,M,Married,FALSE,FALSE,Russia,Mexico,Forex,High,03-02-2001,13-09-2013
Donall,Murdy,08-02-2006,5,679507508,FALSE,M,Married,FALSE,FALSE,France,Russia,Freit,Low,21-02-2017,17-10-2005
Rodrique,Cathery,21-07-1975,2,383100320,FALSE,M,Not Married,FALSE,FALSE,Russia,United States,Securities,Low,23-10-2000,16-07-2008
Jenine,Hansed,03-08-2010,5,420375146,FALSE,F,Not Married,FALSE,FALSE,China,Cyprus,Forex,High,11-01-2006,09-03-2009
Grace,Robinet,10-04-2004,5,296801024,FALSE,F,Not Married,FALSE,FALSE,France,China,Freit,High,25-10-2002,21-01-2016
Llewellyn,Collingwood,31-05-1979,3,528758689,FALSE,F,Not Married,FALSE,FALSE,Indonesia,Thailand,Securities,High,06-03-2011,29-01-2007
Keely,Covil,04-09-1978,2,291162749,FALSE,F,Not Married,FALSE,FALSE,Russia,Philippines,Forex,Medium,10-11-2015,04-08-2018
Elisa,Arnecke,16-08-1977,2,706479192,FALSE,M,Not Married,FALSE,FALSE,Thailand,China,Freit,Low,07-10-2019,01-03-2019
asdsad,fdgdfgdfg,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P8,High,08-08-2003,16-02-2017
SAED,aaaaaa,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P9,Low,08-08-2003,16-02-2017
SAED,ELHOORIE,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P10,Low,08-08-2003,16-02-2017
SAJID,MIR,18-09-1978,1,712244881,TRUE,M,Not Married,FALSE,FALSE,Pakistan,Pakistan,P11,High,08-05-2008,24-06-2007
ABD,AWDA,22-12-1950,1,195875084,TRUE,M,Married,TRUE,TRUE,Syria,Pakistan,P12,Medium,21-05-2000,27-07-2009
DANIEL,ANDREAS,20-03-1978,3,371830649,TRUE,M,Married,FALSE,FALSE,United States,United States,P13,Low,07-04-2003,19-12-2014
HUSAM,ABDALRAUF,13-08-1958,1,358392608,FALSE,M,Married,TRUE,FALSE,Egypt,Egypt,P14,Medium,08-09-2001,28-09-2012
JABER,ELBANEH,06-06-1966,1,263125394,FALSE,M,Married,FALSE,TRUE,Yemen,Russia,P15,Low,17-02-2008,05-02-2008
IBRAHIM,SALIH,14-10-1966,1,113728228,FALSE,M,Not Married,TRUE,TRUE,Russia,SauDiArabia,P16,Low,15-12-2007,19-05-2012
Nicolea,Hanse,28-01-1988,2,552973761,FALSE,F,Married,FALSE,FALSE,Thailand,Peru,Securities,Low,14-12-2019,02-02-2007
Donica,Rishworth,10-07-1992,2,474602354,FALSE,F,Married,FALSE,FALSE,Portugal,Russia,Forex,Medium,27-12-2000,03-11-2014
Hyacinthe,Goodding,30-01-2005,5,452023261,FALSE,M,Married,FALSE,FALSE,China,Indonesia,Freit,High,28-08-2008,05-06-2008
Kira,Leguay,25-02-2008,3,356024099,FALSE,M,Married,FALSE,FALSE,Namibia,Vietnam,P13,Medium,13-05-2020,19-05-2011
Niels,Santi,12-04-1975,3,736196369,FALSE,M,Not Married,FALSE,FALSE,Greece,Finland,P17,High,23-09-2001,17-08-2008
Delphine,Asbrey,24-03-2000,4,636970510,FALSE,F,Not Married,FALSE,FALSE,Poland,Somalia,P4,High,09-10-2009,26-02-2009
Lowe,Tebboth,16-09-1977,5,195035588,FALSE,F,Not Married,FALSE,FALSE,China,China,P5,High,14-07-2011,10-02-2012
Romy,Hissie,28-11-1986,3,617360670,FALSE,F,Married,FALSE,FALSE,Ukraine,China,P6,Low,15-06-2010,15-02-2011
Bat,Gumey,06-12-1976,4,871350748,FALSE,M,Married,FALSE,FALSE,Czech Republic,Russia,P7,High,15-11-2004,06-10-2010
Donavon,Filippo,14-05-2015,4,272023109,FALSE,M,Not Married,FALSE,FALSE,China,China,Forex,Low,17-03-2010,01-02-2009
Cordie,Burdon,01-12-1975,4,152618255,FALSE,F,Not Married,FALSE,FALSE,Bangladesh,Burundi,Freit,High,04-01-2001,09-05-2014
Roger,Tomley,23-08-1977,5,876795517,FALSE,F,Not Married,FALSE,FALSE,Brazil,Madagascar,Securities,Medium,14-08-2015,25-12-2013
Nani,Issard,13-11-1975,4,639568947,FALSE,F,Married,FALSE,FALSE,Central African Republic,Indonesia,P17,High,02-11-2006,16-04-2012
Abeu,Aspenlon,27-04-1998,3,542651258,FALSE,F,Married,FALSE,FALSE,China,Tajikistan,P4,Low,05-06-2002,18-01-2018
Hayyim,Bockings,19-10-2010,4,591192886,FALSE,M,Married,FALSE,FALSE,Ukraine,El Salvador,P5,High,01-01-2010,06-04-2006
Elijah,Girod,29-05-1988,5,432500808,FALSE,M,Not Married,FALSE,FALSE,China,Thailand,P6,Medium,03-04-2019,14-04-2017
Pearce,Hinsche,18-11-2004,2,261813323,FALSE,M,Not Married,FALSE,FALSE,Philippines,Japan,P7,Low,26-08-2016,11-03-2005
Karin,Doni,21-01-2001,3,484794114,FALSE,M,Married,FALSE,FALSE,Russia,Mexico,Forex,High,03-02-2001,13-09-2013
Donall,Murdy,08-02-2006,5,679507508,FALSE,M,Married,FALSE,FALSE,France,Russia,Freit,Low,21-02-2017,17-10-2005
Rodrique,Cathery,21-07-1975,2,383100320,FALSE,M,Not Married,FALSE,FALSE,Russia,United States,Securities,Low,23-10-2000,16-07-2008
Jenine,Hansed,03-08-2010,5,420375146,FALSE,F,Not Married,FALSE,FALSE,China,Cyprus,Forex,High,11-01-2006,09-03-2009
Grace,Robinet,10-04-2004,5,296801024,FALSE,F,Not Married,FALSE,FALSE,France,China,Freit,High,25-10-2002,21-01-2016
Llewellyn,Collingwood,31-05-1979,3,528758689,FALSE,F,Not Married,FALSE,FALSE,Indonesia,Thailand,Securities,High,06-03-2011,29-01-2007
Keely,Covil,04-09-1978,2,291162749,FALSE,F,Not Married,FALSE,FALSE,Russia,Philippines,Forex,Medium,10-11-2015,04-08-2018
Elisa,Arnecke,16-08-1977,2,706479192,FALSE,M,Not Married,FALSE,FALSE,Thailand,China,Freit,Low,07-10-2019,01-03-2019
asdsad,fdgdfgdfg,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P8,High,08-08-2003,16-02-2017
SAED,aaaaaa,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P9,Low,08-08-2003,16-02-2017
SAED,ELHOORIE,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P10,Low,08-08-2003,16-02-2017
SAJID,MIR,18-09-1978,1,712244881,TRUE,M,Not Married,FALSE,FALSE,Pakistan,Pakistan,P11,High,08-05-2008,24-06-2007
ABD,AWDA,22-12-1950,1,195875084,TRUE,M,Married,TRUE,TRUE,Syria,Pakistan,P12,Medium,21-05-2000,27-07-2009
DANIEL,ANDREAS,20-03-1978,3,371830649,TRUE,M,Married,FALSE,FALSE,United States,United States,P13,Low,07-04-2003,19-12-2014
HUSAM,ABDALRAUF,13-08-1958,1,358392608,FALSE,M,Married,TRUE,FALSE,Egypt,Egypt,P14,Medium,08-09-2001,28-09-2012
JABER,ELBANEH,06-06-1966,1,263125394,FALSE,M,Married,FALSE,TRUE,Yemen,Russia,P15,Low,17-02-2008,05-02-2008
IBRAHIM,SALIH,14-10-1966,1,113728228,FALSE,M,Not Married,TRUE,TRUE,Russia,SauDiArabia,P16,Low,15-12-2007,19-05-2012
Nicolea,Hanse,28-01-1988,2,552973761,FALSE,F,Married,FALSE,FALSE,Thailand,Peru,Securities,Low,14-12-2019,02-02-2007
Donica,Rishworth,10-07-1992,2,474602354,FALSE,F,Married,FALSE,FALSE,Portugal,Russia,Forex,Medium,27-12-2000,03-11-2014
Hyacinthe,Goodding,30-01-2005,5,452023261,FALSE,M,Married,FALSE,FALSE,China,Indonesia,Freit,High,28-08-2008,05-06-2008
Kira,Leguay,25-02-2008,3,356024099,FALSE,M,Married,FALSE,FALSE,Namibia,Vietnam,P13,Medium,13-05-2020,19-05-2011
Niels,Santi,12-04-1975,3,736196369,FALSE,M,Not Married,FALSE,FALSE,Greece,Finland,P17,High,23-09-2001,17-08-2008
Delphine,Asbrey,24-03-2000,4,636970510,FALSE,F,Not Married,FALSE,FALSE,Poland,Somalia,P4,High,09-10-2009,26-02-2009
Lowe,Tebboth,16-09-1977,5,195035588,FALSE,F,Not Married,FALSE,FALSE,China,China,P5,High,14-07-2011,10-02-2012
Romy,Hissie,28-11-1986,3,617360670,FALSE,F,Married,FALSE,FALSE,Ukraine,China,P6,Low,15-06-2010,15-02-2011
Bat,Gumey,06-12-1976,4,871350748,FALSE,M,Married,FALSE,FALSE,Czech Republic,Russia,P7,High,15-11-2004,06-10-2010
Donavon,Filippo,14-05-2015,4,272023109,FALSE,M,Not Married,FALSE,FALSE,China,China,Forex,Low,17-03-2010,01-02-2009
Cordie,Burdon,01-12-1975,4,152618255,FALSE,F,Not Married,FALSE,FALSE,Bangladesh,Burundi,Freit,High,04-01-2001,09-05-2014
Roger,Tomley,23-08-1977,5,876795517,FALSE,F,Not Married,FALSE,FALSE,Brazil,Madagascar,Securities,Medium,14-08-2015,25-12-2013
Nani,Issard,13-11-1975,4,639568947,FALSE,F,Married,FALSE,FALSE,Central African Republic,Indonesia,P17,High,02-11-2006,16-04-2012
Abeu,Aspenlon,27-04-1998,3,542651258,FALSE,F,Married,FALSE,FALSE,China,Tajikistan,P4,Low,05-06-2002,18-01-2018
Hayyim,Bockings,19-10-2010,4,591192886,FALSE,M,Married,FALSE,FALSE,Ukraine,El Salvador,P5,High,01-01-2010,06-04-2006
Elijah,Girod,29-05-1988,5,432500808,FALSE,M,Not Married,FALSE,FALSE,China,Thailand,P6,Medium,03-04-2019,14-04-2017
Pearce,Hinsche,18-11-2004,2,261813323,FALSE,M,Not Married,FALSE,FALSE,Philippines,Japan,P7,Low,26-08-2016,11-03-2005
Karin,Doni,21-01-2001,3,484794114,FALSE,M,Married,FALSE,FALSE,Russia,Mexico,Forex,High,03-02-2001,13-09-2013
Donall,Murdy,08-02-2006,5,679507508,FALSE,M,Married,FALSE,FALSE,France,Russia,Freit,Low,21-02-2017,17-10-2005
Rodrique,Cathery,21-07-1975,2,383100320,FALSE,M,Not Married,FALSE,FALSE,Russia,United States,Securities,Low,23-10-2000,16-07-2008
Jenine,Hansed,03-08-2010,5,420375146,FALSE,F,Not Married,FALSE,FALSE,China,Cyprus,Forex,High,11-01-2006,09-03-2009
Grace,Robinet,10-04-2004,5,296801024,FALSE,F,Not Married,FALSE,FALSE,France,China,Freit,High,25-10-2002,21-01-2016
Llewellyn,Collingwood,31-05-1979,3,528758689,FALSE,F,Not Married,FALSE,FALSE,Indonesia,Thailand,Securities,High,06-03-2011,29-01-2007
Keely,Covil,04-09-1978,2,291162749,FALSE,F,Not Married,FALSE,FALSE,Russia,Philippines,Forex,Medium,10-11-2015,04-08-2018
Elisa,Arnecke,16-08-1977,2,706479192,FALSE,M,Not Married,FALSE,FALSE,Thailand,China,Freit,Low,07-10-2019,01-03-2019
asdsad,fdgdfgdfg,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P8,High,08-08-2003,16-02-2017
SAED,aaaaaa,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P9,Low,08-08-2003,16-02-2017
SAED,ELHOORIE,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P10,Low,08-08-2003,16-02-2017
SAJID,MIR,18-09-1978,1,712244881,TRUE,M,Not Married,FALSE,FALSE,Pakistan,Pakistan,P11,High,08-05-2008,24-06-2007
ABD,AWDA,22-12-1950,1,195875084,TRUE,M,Married,TRUE,TRUE,Syria,Pakistan,P12,Medium,21-05-2000,27-07-2009
DANIEL,ANDREAS,20-03-1978,3,371830649,TRUE,M,Married,FALSE,FALSE,United States,United States,P13,Low,07-04-2003,19-12-2014
HUSAM,ABDALRAUF,13-08-1958,1,358392608,FALSE,M,Married,TRUE,FALSE,Egypt,Egypt,P14,Medium,08-09-2001,28-09-2012
JABER,ELBANEH,06-06-1966,1,263125394,FALSE,M,Married,FALSE,TRUE,Yemen,Russia,P15,Low,17-02-2008,05-02-2008
IBRAHIM,SALIH,14-10-1966,1,113728228,FALSE,M,Not Married,TRUE,TRUE,Russia,SauDiArabia,P16,Low,15-12-2007,19-05-2012
Nicolea,Hanse,28-01-1988,2,552973761,FALSE,F,Married,FALSE,FALSE,Thailand,Peru,Securities,Low,14-12-2019,02-02-2007
Donica,Rishworth,10-07-1992,2,474602354,FALSE,F,Married,FALSE,FALSE,Portugal,Russia,Forex,Medium,27-12-2000,03-11-2014
Hyacinthe,Goodding,30-01-2005,5,452023261,FALSE,M,Married,FALSE,FALSE,China,Indonesia,Freit,High,28-08-2008,05-06-2008
Kira,Leguay,25-02-2008,3,356024099,FALSE,M,Married,FALSE,FALSE,Namibia,Vietnam,P13,Medium,13-05-2020,19-05-2011
Niels,Santi,12-04-1975,3,736196369,FALSE,M,Not Married,FALSE,FALSE,Greece,Finland,P17,High,23-09-2001,17-08-2008
Delphine,Asbrey,24-03-2000,4,636970510,FALSE,F,Not Married,FALSE,FALSE,Poland,Somalia,P4,High,09-10-2009,26-02-2009
Lowe,Tebboth,16-09-1977,5,195035588,FALSE,F,Not Married,FALSE,FALSE,China,China,P5,High,14-07-2011,10-02-2012
Romy,Hissie,28-11-1986,3,617360670,FALSE,F,Married,FALSE,FALSE,Ukraine,China,P6,Low,15-06-2010,15-02-2011
Bat,Gumey,06-12-1976,4,871350748,FALSE,M,Married,FALSE,FALSE,Czech Republic,Russia,P7,High,15-11-2004,06-10-2010
Donavon,Filippo,14-05-2015,4,272023109,FALSE,M,Not Married,FALSE,FALSE,China,China,Forex,Low,17-03-2010,01-02-2009
Cordie,Burdon,01-12-1975,4,152618255,FALSE,F,Not Married,FALSE,FALSE,Bangladesh,Burundi,Freit,High,04-01-2001,09-05-2014
Roger,Tomley,23-08-1977,5,876795517,FALSE,F,Not Married,FALSE,FALSE,Brazil,Madagascar,Securities,Medium,14-08-2015,25-12-2013
Nani,Issard,13-11-1975,4,639568947,FALSE,F,Married,FALSE,FALSE,Central African Republic,Indonesia,P17,High,02-11-2006,16-04-2012
Abeu,Aspenlon,27-04-1998,3,542651258,FALSE,F,Married,FALSE,FALSE,China,Tajikistan,P4,Low,05-06-2002,18-01-2018
Hayyim,Bockings,19-10-2010,4,591192886,FALSE,M,Married,FALSE,FALSE,Ukraine,El Salvador,P5,High,01-01-2010,06-04-2006
Elijah,Girod,29-05-1988,5,432500808,FALSE,M,Not Married,FALSE,FALSE,China,Thailand,P6,Medium,03-04-2019,14-04-2017
Pearce,Hinsche,18-11-2004,2,261813323,FALSE,M,Not Married,FALSE,FALSE,Philippines,Japan,P7,Low,26-08-2016,11-03-2005
Karin,Doni,21-01-2001,3,484794114,FALSE,M,Married,FALSE,FALSE,Russia,Mexico,Forex,High,03-02-2001,13-09-2013
Donall,Murdy,08-02-2006,5,679507508,FALSE,M,Married,FALSE,FALSE,France,Russia,Freit,Low,21-02-2017,17-10-2005
Rodrique,Cathery,21-07-1975,2,383100320,FALSE,M,Not Married,FALSE,FALSE,Russia,United States,Securities,Low,23-10-2000,16-07-2008
Jenine,Hansed,03-08-2010,5,420375146,FALSE,F,Not Married,FALSE,FALSE,China,Cyprus,Forex,High,11-01-2006,09-03-2009
Grace,Robinet,10-04-2004,5,296801024,FALSE,F,Not Married,FALSE,FALSE,France,China,Freit,High,25-10-2002,21-01-2016
Llewellyn,Collingwood,31-05-1979,3,528758689,FALSE,F,Not Married,FALSE,FALSE,Indonesia,Thailand,Securities,High,06-03-2011,29-01-2007
Keely,Covil,04-09-1978,2,291162749,FALSE,F,Not Married,FALSE,FALSE,Russia,Philippines,Forex,Medium,10-11-2015,04-08-2018
Elisa,Arnecke,16-08-1977,2,706479192,FALSE,M,Not Married,FALSE,FALSE,Thailand,China,Freit,Low,07-10-2019,01-03-2019
asdsad,fdgdfgdfg,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P8,High,08-08-2003,16-02-2017
SAED,aaaaaa,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P9,Low,08-08-2003,16-02-2017
SAED,ELHOORIE,07-12-1965,3,513963069,TRUE,M,Married,TRUE,TRUE,North Korea,China,P10,Low,08-08-2003,16-02-2017
SAJID,MIR,18-09-1978,1,712244881,TRUE,M,Not Married,FALSE,FALSE,Pakistan,Pakistan,P11,High,08-05-2008,24-06-2007
ABD,AWDA,22-12-1950,1,195875084,TRUE,M,Married,TRUE,TRUE,Syria,Pakistan,P12,Medium,21-05-2000,27-07-2009
DANIEL,ANDREAS,20-03-1978,3,371830649,TRUE,M,Married,FALSE,FALSE,United States,United States,P13,Low,07-04-2003,19-12-2014
HUSAM,ABDALRAUF,13-08-1958,1,358392608,FALSE,M,Married,TRUE,FALSE,Egypt,Egypt,P14,Medium,08-09-2001,28-09-2012
JABER,ELBANEH,06-06-1966,1,263125394,FALSE,M,Married,FALSE,TRUE,Yemen,Russia,P15,Low,17-02-2008,05-02-2008
IBRAHIM,SALIH,14-10-1966,1,113728228,FALSE,M,Not Married,TRUE,TRUE,Russia,SauDiArabia,P16,Low,15-12-2007,19-05-2012
Nicolea,Hanse,28-01-1988,2,552973761,FALSE,F,Married,FALSE,FALSE,Thailand,Peru,Securities,Low,14-12-2019,02-02-2007
Donica,Rishworth,10-07-1992,2,474602354,FALSE,F,Married,FALSE,FALSE,Portugal,Russia,Forex,Medium,27-12-2000,03-11-2014
Hyacinthe,Goodding,30-01-2005,5,452023261,FALSE,M,Married,FALSE,FALSE,China,Indonesia,Freit,High,28-08-2008,05-06-2008
Kira,Leguay,25-02-2008,3,356024099,FALSE,M,Married,FALSE,FALSE,Namibia,Vietnam,P13,Medium,13-05-2020,19-05-2011
Niels,Santi,12-04-1975,3,736196369,FALSE,M,Not Married,FALSE,FALSE,Greece,Finland,P17,High,23-09-2001,17-08-2008
Delphine,Asbrey,24-03-2000,4,636970510,FALSE,F,Not Married,FALSE,FALSE,Poland,Somalia,P4,High,09-10-2009,26-02-2009
Lowe,Tebboth,16-09-1977,5,195035588,FALSE,F,Not Married,FALSE,FALSE,China,China,P5,High,14-07-2011,10-02-2012
Romy,Hissie,28-11-1986,3,617360670,FALSE,F,Married,FALSE,FALSE,Ukraine,China,P6,Low,15-06-2010,15-02-2011
Bat,Gumey,06-12-1976,4,871350748,FALSE,M,Married,FALSE,FALSE,Czech Republic,Russia,P7,High,15-11-2004,06-10-2010
Donavon,Filippo,14-05-2015,4,272023109,FALSE,M,Not Married,FALSE,FALSE,China,China,Forex,Low,17-03-2010,01-02-2009
Cordie,Burdon,01-12-1975,4,152618255,FALSE,F,Not Married,FALSE,FALSE,Bangladesh,Burundi,Freit,High,04-01-2001,09-05-2014
Roger,Tomley,23-08-1977,5,876795517,FALSE,F,Not Married,FALSE,FALSE,Brazil,Madagascar,Securities,Medium,14-08-2015,25-12-2013
Nani,Issard,13-11-1975,4,639568947,FALSE,F,Married,FALSE,FALSE,Central African Republic,Indonesia,P17,High,02-11-2006,16-04-2012
Abeu,Aspenlon,27-04-1998,3,542651258,FALSE,F,Married,FALSE,FALSE,China,Tajikistan,P4,Low,05-06-2002,18-01-2018
Hayyim,Bockings,19-10-2010,4,591192886,FALSE,M,Married,FALSE,FALSE,Ukraine,El Salvador,P5,High,01-01-2010,06-04-2006
Elijah,Girod,29-05-1988,5,432500808,FALSE,M,Not Married,FALSE,FALSE,China,Thailand,P6,Medium,03-04-2019,14-04-2017
Pearce,Hinsche,18-11-2004,2,261813323,FALSE,M,Not Married,FALSE,FALSE,Philippines,Japan,P7,Low,26-08-2016,11-03-2005
Karin,Doni,21-01-2001,3,484794114,FALSE,M,Married,FALSE,FALSE,Russia,Mexico,Forex,High,03-02-2001,13-09-2013
Donall,Murdy,08-02-2006,5,679507508,FALSE,M,Married,FALSE,FALSE,France,Russia,Freit,Low,21-02-2017,17-10-2005
Rodrique,Cathery,21-07-1975,2,383100320,FALSE,M,Not Married,FALSE,FALSE,Russia,United States,Securities,Low,23-10-2000,16-07-2008
Jenine,Hansed,03-08-2010,5,420375146,FALSE,F,Not Married,FALSE,FALSE,China,Cyprus,Forex,High,11-01-2006,09-03-2009
Grace,Robinet,10-04-2004,5,296801024,FALSE,F,Not Married,FALSE,FALSE,France,China,Freit,High,25-10-2002,21-01-2016
Llewellyn,Collingwood,31-05-1979,3,528758689,FALSE,F,Not Married,FALSE,FALSE,Indonesia,Thailand,Securities,High,06-03-2011,29-01-2007
Keely,Covil,04-09-1978,2,291162749,FALSE,F,Not Married,FALSE,FALSE,Russia,Philippines,Forex,Medium,10-11-2015,04-08-2018
Elisa,Arnecke,16-08-1977,2,706479192,FALSE,M,Not Married,FALSE,FALSE,Thailand,China,Freit,Low,07-10-2019,01-03-2019
